Version	Id	Symbol	Flags	Name	Prefix
11	0	AR_NONE		none	
11	1	AR_LOTHORIL		Lothoril	
11	2	AR_GLOOM		Gloom	
11	3	AR_MOON		Moon	
11	4	AR_MIRROW		Mirrow	
11	5	AR_GLORIM		Glorim	
11	6	AR_KORKITH		Korkith	
11	7	AR_LOST		Lost	the
11	8	AR_DEAD		Dead	
11	9	AR_WEIRD		Weird	
11	10	AR_UGRAK		Ugrak	
11	11	AR_DEATH		Death	
11	12	AR_DOOM		Doom	
11	13	AR_DESPAIR		Despair	
11	14	AR_VORGATH		Vorgath	
11	15	AR_USHGARAK		Ushgarak	
11	16	AR_UGRORN		Ugrorn	
11	17	AR_KOR		Kor	
11	18	AR_TOOMOG		Toomog	
11	19	AR_OGRIM		Ogrim	
11	20	AR_DODRAK		Dodrak	
11	21	AR_GORGRATH		Gorgrath	
11	22	AR_VALETHOR		Valethor	
11	23	AR_COROTH		Coroth	
11	24	AR_ASHIMAR		Ashimar	
11	25	AR_ITHRIL		Ithril	
11	26	AR_SHADOWS		Shadows	
11	27	AR_BLOOD		Blood	
11	28	AR_THRALL		Thrall	
11	29	AR_TORKREN		Torkren	
11	30	AR_GARD		Gard	
11	31	AR_MITHARG		Mitharg	
11	32	AR_MOON2		Moon	the
11	33	AR_ISERATH		Iserath	
11	34	AR_SHIMERIL		Shimeril	
11	35	AR_ODRARK		Odrark	
11	36	AR_ISHMALAY		Ishmalay	
11	37	AR_BRITH		Brith	
11	38	AR_SILENCE		Silence	
11	39	AR_ELENIL		Elenil	
11	40	AR_RORATH		Rorath	
11	41	AR_MORNING		Morning	
11	42	AR_THIMRATH		Thimrath	
11	43	AR_CORELAY		Corelay	
11	44	AR_RATHRORN		Rathrorn	
11	45	AR_LORGRIM		Lorgrim	
11	46	AR_LOR		Lor	
11	47	AR_FADRATH		Fadrath	
11	48	AR_DROON		Droon	
11	49	AR_GRARG		Grarg	
11	50	AR_DREAMS		Dreams	
11	51	AR_ITHRORN		Ithrorn	
11	52	AR_WHISPERS		Whispers	
11	53	AR_XAJORKITH		Xajorkith	
11	54	AR_HERATH		Herath	
11	55	AR_KUMAR		Kumar	
11	56	AR_MARAKITH		Marakith	
11	57	AR_TARG		Targ	the
11	58	AR_UTARG		Utarg	
11	59	AR_ATHORIL		Athoril	
11	60	AR_DREGRIM		Dregrim	
11	61	AR_DAWN		Dawn	
11	62	AR_TRORN		Trorn	
11	63	AR_COOM		Coom	
