Version	Id	Symbol	Flags	Location
11	1	PL_CITADEL_GLOOM		9,1
11	2	PL_KEEP_OF_LORGRIM		47,4
11	3	PL_DESPAIR_KEEP_3		29,5
11	4	PL_CITADEL_VORGATH		23,6
11	5	PL_KEEP_OF_DEATH		33,7
11	6	PL_DESPAIR_KEEP_6		24,8
11	7	PL_CITADEL_USHGARAK		30,8
11	8	PL_CITADEL_GRARG		38,8
11	9	PL_GRARG_KEEP_9		41,9
11	10	PL_KEEP_OF_FADRATH		58,9
11	11	PL_GRARG_KEEP_11		40,10
11	12	PL_KEEP_OF_LOTHORIL		12,11
11	13	PL_LOST_KEEP_13		22,12
11	14	PL_UGRAK_KEEP_14		26,12
11	15	PL_CITADEL_KOR		30,13
11	16	PL_KOR_KEEP_16		37,13
11	17	PL_KEEP_OF_ITHRIL		52,13
11	18	PL_KEEP_OF_DROON		63,13
11	19	PL_GLORIM_KEEP_19		17,14
11	20	PL_ITHRIL_KEEP_20		56,14
11	21	PL_CITADEL_ITHRORN		58,16
11	22	PL_GLORIM_KEEP_22		15,17
11	23	PL_KOR_KEEP_23		28,17
11	24	PL_KOR_KEEP_24		35,17
11	25	PL_CITADEL_DREAMS		43,17
11	26	PL_ITHRIL_KEEP_26		53,17
11	27	PL_KOR_KEEP_27		20,18
11	28	PL_KOR_KEEP_28		23,19
11	29	PL_ITHRIL_KEEP_29		55,19
11	30	PL_KORKITH_KEEP_30		15,21
11	31	PL_ITHRIL_KEEP_31		50,21
11	32	PL_KEEP_OF_WHISPERS		58,21
11	33	PL_CITADEL_KORKITH		19,22
11	34	PL_KOR_KEEP_34		43,22
11	35	PL_KEEP_OF_KOR		32,23
11	36	PL_ITHRIL_KEEP_36		47,23
11	37	PL_KOR_KEEP_37		40,24
11	38	PL_HERATH_KEEP_38		57,25
11	39	PL_KOR_KEEP_39		33,26
11	40	PL_KEEP_HERATH		46,27
11	41	PL_HERATH_KEEP_41		55,27
11	42	PL_VALETHOR_KEEP_42		35,28
11	43	PL_KEEP_OF_VALETHOR		18,29
11	44	PL_MARAKITH_KEEP_44		43,29
11	45	PL_CITADEL_GORGARTH		25,30
11	46	PL_VALETHOR_KEEP_46		31,30
11	47	PL_KEEP_OF_KUMAR		52,30
11	48	PL_CITADEL_KUMAR		58,30
11	49	PL_TARG_KEEP_49		56,32
11	50	PL_VALETHOR_KEEP_50		22,33
11	51	PL_VALETHOR_KEEP_51		24,33
11	52	PL_CITADEL_MARAKITH		44,33
11	53	PL_KEEP_OF_DODRAK		14,34
11	54	PL_KEEP_OF_MARAKITH		35,34
11	55	PL_BLOOD_KEEP_55		31,35
11	56	PL_KEEP_OF_UTARG		60,35
11	57	PL_KEEP_OF_BLOOD		22,37
11	58	PL_KEEP_OF_ANTHORIL		55,39
11	59	PL_BLOOD_KEEP_59		28,40
11	60	PL_BLOOD_KEEP_60		23,41
11	61	PL_BLOOD_KEEP_61		26,41
11	62	PL_DAWN_KEEP_62		49,41
11	63	PL_DAWN_KEEP_63		43,42
11	64	PL_KEEP_OF_DREGRIM		56,42
11	65	PL_KEEP_OF_THEMOON		18,43
11	66	PL_CITADEL_SHIMERIL		29,43
11	67	PL_KEEP_OF_DAWN		38,44
11	68	PL_CITADEL_DREGRIM		60,44
11	69	PL_CITADEL_DAWN		45,46
11	70	PL_KEEP_OF_MITHARG		30,47
