Version	Id	Symbol	Terrain	Flags	Location	Occupying Race	Race	Occupier	Owner	Type	Total	Min	Max	Strategical Success	Owner Success	Enemy Success	Influence	Respawn	land	warrior_0	warrior_1	warrior_2	warrior_3	warrior_4	warrior_5	warrior_6	warrior_7	warrior_8	warrior_9	warrior_10	warrior_11	warrior_12	warrior_13	warrior_14	warrior_15	land_war_state	land_realm	
7	1	SH_CASTLE_IMILVIR	TN_CASTLE		"256,0"	RA_KITH	RA_KITH	CH_MORKIN	CH_MORKIN	UT_WARRIORS									Imilvir	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	LS_AT_PEACE	The Witherlands	
7	2	SH_CASTLE_EODRAL	TN_CASTLE		"256,0"	RA_KITH	RA_KITH	CH_MORKIN	CH_MORKIN	UT_WARRIORS									Eodral	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	LS_AT_PEACE	The Witherlands	
7	3	SH_CASTLE_ARELON	TN_CASTLE		"256,0"	RA_KITH	RA_KITH	CH_MORKIN	CH_MORKIN	UT_WARRIORS									Arelon	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	LS_AT_PEACE	The Witherlands	
7	4	SH_CASTLE_ARAVIK	TN_CASTLE		"256,0"	RA_KITH	RA_KITH	CH_MORKIN	CH_MORKIN	UT_WARRIORS									Aravik	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	LS_AT_PEACE	The Witherlands	
7	5	SH_CASTLE_CARADWIN	TN_CASTLE		"256,0"	RA_KITH	RA_KITH	CH_MORKIN	CH_MORKIN	UT_WARRIORS									Caradwin	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	LS_AT_PEACE	The Witherlands	
7	6	SH_CASTLE_FALTHRANG	TN_CASTLE		"256,0"	RA_KITH	RA_KITH	CH_MORKIN	CH_MORKIN	UT_WARRIORS									Falthrang	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	LS_AT_PEACE	The Witherlands	
7	7	SH_CASTLE_ELINMOR	TN_CASTLE		"256,0"	RA_KITH	RA_KITH	CH_MORKIN	CH_MORKIN	UT_WARRIORS									Elinmor	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	LS_AT_PEACE	The Witherlands	
7	8	SH_CASTLE_TAREFYR	TN_CASTLE		"256,0"	RA_KITH	RA_KITH	CH_MORKIN	CH_MORKIN	UT_WARRIORS									Tarefyr	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	LS_AT_PEACE	The Witherlands	
7	9	SH_CASTLE_NORTHERN	TN_CASTLE		"256,0"	RA_KITH	RA_KITH	CH_MORKIN	CH_MORKIN	UT_WARRIORS									Northern	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	LS_AT_PEACE	The Witherlands	
7	10	SH_CASTLE_EASTERN	TN_CASTLE		"256,0"	RA_KITH	RA_KITH	CH_MORKIN	CH_MORKIN	UT_WARRIORS									Eastern	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	LS_AT_PEACE	The Witherlands	
7	11	SH_CASTLE_SOUTHERN	TN_CASTLE		"256,0"	RA_KITH	RA_KITH	CH_MORKIN	CH_MORKIN	UT_WARRIORS									Southern	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	LS_AT_PEACE	The Witherlands	
