Version	Id	Symbol	Flags	Name
11	0	OP_NONE		
11	1	OP_PERSUASION		Persuasion
11	2	OP_PROTECTION		Protection
11	3	OP_BATTLE		Battle
11	4	OP_SWIFTNESS		Swiftness
11	5	OP_CONTROL		Control
11	6	OP_FEAR		Fear
11	7	OP_ATTACK		
11	8	OP_ATTACK_DDR		
11	9	OP_SHELTER		
11	10	OP_SHELTER_DDR		
11	11	OP_GUIDANCE		
11	12	OP_GUIDANCE_DDR		
11	13	OP_NO_ENERGY		
11	14	OP_FULL_ENERGY		
11	15	OP_NIGHT		
11	16	OP_DAWN		
11	17	OP_HORSE		
11	18	OP_FULL_DESPONDANCE		
11	19	OP_NO_DESPONDANCE		
11	20	OP_FULL_TIREDNESS		
11	21	OP_NO_TIREDNESS		
