Version	Id	Symbol	Flags	Location	Occupying Race	Race	Type	Total	Min	Max	Strategical Success	Owner Success	Enemy Success	Influence	Respawn	Occupier	Owner	Terrain	Energy	Loyalty
1	1	SH_FORTRESS_VARENAND		39,93	RA_FEY	RA_FEY	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_LORANGRIM	CH_LORANGRIM	TN_FORTRESS	180	RA_FEY
1	2	SH_CITY_CARUDRIUM		50,49	RA_DWARF	RA_DWARF	UT_WARRIORS	1000	0	1275	0	0	0	0	100	CH_CARORTHAY	CH_CARORTHAY	TN_CITY	180	RA_DWARF
1	3	SH_FORTRESS_THIGRORN		60,79	RA_FEY	RA_FEY	UT_WARRIORS	1000	0	1275	0	0	0	0	50	CH_LORANGRIEL	CH_LORANGRIEL	TN_FORTRESS	180	RA_FEY
1	4	SH_FORTRESS_FINORN		10,33	RA_GIANT	RA_GIANT	UT_WARRIORS	1000	0	1275	0	0	0	0	50	CH_CARANGRANE	CH_CARANGRANE	TN_FORTRESS	180	RA_GIANT
1	5	SH_CITY_IMIRIEL		30,2	RA_HEARTSTEALER	RA_HEARTSTEALER	UT_RIDERS	1000	0	1275	0	0	0	0	100	CH_SHARETH	CH_SHARETH	TN_CITY	180	RA_HEARTSTEALER
1	6	SH_CITY_IMGARORN		1,1	RA_GIANT	RA_GIANT	UT_WARRIORS	1000	0	1275	0	0	0	0	100	CH_IMGARORN	CH_IMGARORN	TN_CITY	180	RA_GIANT
1	7	SH_FORTRESS_IMGORMAD		12,3	RA_GIANT	RA_GIANT	UT_WARRIORS	1000	0	1275	0	0	0	0	50	CH_IMGORMAD	CH_IMGORMAD	TN_FORTRESS	180	RA_GIANT
1	8	SH_CITY_MALISANE		49,3	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	100	CH_MALISANE	CH_MALISANE	TN_CITY	180	RA_ICELORD
1	9	SH_FORTRESS_ANVIREON		29,4	RA_ICELORD	RA_ICELORD	UT_WARRIORS	1000	0	1275	0	0	0	0	50	CH_ANVIREON	CH_ANVIREON	TN_FORTRESS	180	RA_ICELORD
1	10	SH_FORTRESS_TALORMANE		34,4	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_TALORMANE	CH_TALORMANE	TN_FORTRESS	180	RA_ICELORD
1	11	SH_FORTRESS_IMILDRORN		41,4	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_IMILDRORN	CH_IMILDRORN	TN_FORTRESS	180	RA_ICELORD
1	12	SH_FORTRESS_CARORTHAD		62,4	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_CARORTHAD	CH_CARORTHAD	TN_FORTRESS	180	RA_ICELORD
1	13	SH_FORTRESS_USHUDRARG		52,5	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_USHUDRARG	CH_USHUDRARG	TN_FORTRESS	180	RA_ICELORD
1	14	SH_FORTRESS_GLORMEON		7,6	RA_GIANT	RA_GIANT	UT_WARRIORS	1000	0	1275	0	0	0	0	50	CH_GLORMEON	CH_GLORMEON	TN_FORTRESS	180	RA_GIANT
1	15	SH_FORTRESS_THORMUK		22,6	RA_GIANT	RA_GIANT	UT_WARRIORS	1000	0	1275	0	0	0	0	50	CH_THORMUK	CH_THORMUK	TN_FORTRESS	180	RA_GIANT
1	16	SH_CITY_IMGARIL		57,9	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	100	CH_IMGARIL	CH_IMGARIL	TN_CITY	180	RA_ICELORD
1	17	SH_FORTRESS_OBULARG		13,10	RA_GIANT	RA_GIANT	UT_WARRIORS	1000	0	1275	0	0	0	0	50	CH_OBULARG	CH_OBULARG	TN_FORTRESS	180	RA_GIANT
1	18	SH_FORTRESS_THIGRIM		29,10	RA_ICELORD	RA_ICELORD	UT_WARRIORS	1000	0	1275	0	0	0	0	50	CH_THIGRIM	CH_THIGRIM	TN_FORTRESS	180	RA_ICELORD
1	19	SH_CITY_LORELORN		36,10	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	100	CH_LORELORN	CH_LORELORN	TN_CITY	180	RA_ICELORD
1	20	SH_FORTRESS_KAHANGRORN		48,10	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_KAHANGRORN	CH_KAHANGRORN	TN_FORTRESS	180	RA_ICELORD
1	21	SH_FORTRESS_MALIRARG		63,11	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_MALIRARG	CH_MALIRARG	TN_FORTRESS	180	RA_ICELORD
1	22	SH_FORTRESS_IMATRORN		19,13	RA_GIANT	RA_GIANT	UT_WARRIORS	1000	0	1275	0	0	0	0	50	CH_IMATRORN	CH_IMATRORN	TN_FORTRESS	180	RA_GIANT
1	23	SH_FORTRESS_ASORTHANE		5,14	RA_GIANT	RA_GIANT	UT_WARRIORS	1000	0	1275	0	0	0	0	50	CH_ASORTHANE	CH_ASORTHANE	TN_FORTRESS	180	RA_GIANT
1	24	SH_FORTRESS_IMASHARG		38,14	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_IMASHARG	CH_IMASHARG	TN_FORTRESS	180	RA_ICELORD
1	25	SH_FORTRESS_TORANGRORN		61,14	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_TORANGRORN	CH_TORANGRORN	TN_FORTRESS	180	RA_ICELORD
1	26	SH_FORTRESS_SORTHARG		27,15	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_SORTHARG	CH_SORTHARG	TN_FORTRESS	180	RA_ICELORD
1	27	SH_CITY_ZARASHAND		45,15	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	100	CH_ZARASHAND	CH_ZARASHAND	TN_CITY	180	RA_ICELORD
1	28	SH_FORTRESS_GLORORN		54,15	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_GLORORN	CH_GLORORN	TN_FORTRESS	180	RA_ICELORD
1	29	SH_FORTRESS_MALORTHAND		34,16	RA_ICELORD	RA_ICELORD	UT_WARRIORS	1000	0	1275	0	0	0	0	50	CH_MALORTHAND	CH_MALORTHAND	TN_FORTRESS	180	RA_ICELORD
1	30	SH_CITY_VARANGRIM		18,18	RA_GIANT	RA_GIANT	UT_WARRIORS	1000	0	1275	0	0	0	0	100	CH_VARANGRIM	CH_VARANGRIM	TN_CITY	180	RA_GIANT
1	31	SH_FORTRESS_SIGRORN		29,18	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_SIGRORN	CH_SIGRORN	TN_FORTRESS	180	RA_ICELORD
1	32	SH_FORTRESS_HAGUDRAK		38,19	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_HAGUDRAK	CH_HAGUDRAK	TN_FORTRESS	180	RA_ICELORD
1	33	SH_CITY_BERUDRARG		45,20	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	100	CH_BERUDRARG	CH_BERUDRARG	TN_CITY	180	RA_ICELORD
1	34	SH_FORTRESS_IMGUDRORN		60,20	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_IMGUDRORN	CH_IMGUDRORN	TN_FORTRESS	180	RA_ICELORD
1	35	SH_CITY_TALORTHANE		54,21	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	100	CH_TALORTHANE	CH_TALORTHANE	TN_CITY	180	RA_ICELORD
1	36	SH_FORTRESS_MORANGRIM		31,22	RA_ICELORD	RA_ICELORD	UT_RIDERS	1000	0	1275	0	0	0	0	50	CH_MORANGRIM	CH_MORANGRIM	TN_FORTRESS	180	RA_ICELORD
1	37	SH_FORTRESS_OBORTHARG		12,23	RA_GIANT	RA_GIANT	UT_WARRIORS	1000	0	1275	0	0	0	0	50	CH_OBORTHARG	CH_OBORTHARG	TN_FORTRESS	180	RA_GIANT
1	38	SH_FORTRESS_GLORTHEON		27,23	RA_GIANT	RA_GIANT	UT_WARRIORS	1000	0	1275	0	0	0	0	50	CH_GLORTHEON	CH_GLORTHEON	TN_FORTRESS	180	RA_GIANT
